Country,Partner Name,Trade Flow,Product Group,Indicator,Year,Amount,SIPRI AT Database ID,Supplier,Recipient,Designation,Description,Armament category,Order date,Order date is estimate,Numbers delivered,Numbers delivered is estimate,Delivery year,Delivery year is estimate,Status,SIPRI estimate,TIV deal unit,TIV delivery values,Local production,TII,TII Score
China,Bangladesh,Export,  All Products,Export (US$ Thousand),1996,653039.639,27731,China,Bangladesh,F-7M Airguard,fighter aircraft,Aircraft,1996,Yes,3,No,1999,No,New,11,11,33,No,TII,4.128202903
China,Bangladesh,Export,  All Products,Export (US$ Thousand),1996,653039.639,27731,China,Bangladesh,F-7M Airguard,fighter aircraft,Aircraft,1996,Yes,1,No,2000,No,New,11,11,11,No,TII,4.128202903
China,Iran,Export,  All Products,Export (US$ Thousand),1996,394580.868,32698,China,Iran,JY-14,air search radar,Sensors,1996,Yes,1,Yes,1999,Yes,New,13.5,13.5,13.5,No,TII,1.198521352
China,Iran,Export,  All Products,Export (US$ Thousand),1996,394580.868,32698,China,Iran,JY-14,air search radar,Sensors,1996,Yes,1,Yes,2000,Yes,New,13.5,13.5,13.5,No,TII,1.198521352
China,Iran,Export,  All Products,Export (US$ Thousand),1996,394580.868,32698,China,Iran,JY-14,air search radar,Sensors,1996,Yes,1,Yes,2001,Yes,New,13.5,13.5,13.5,No,TII,1.198521352
China,Iran,Export,  All Products,Export (US$ Thousand),1996,394580.868,39941,China,Iran,Type-86 APC,APC,Armoured vehicles,1996,Yes,10,Yes,2001,No,New,0.3,0.3,3,Yes,TII,1.198521352
China,Iran,Export,  All Products,Export (US$ Thousand),1996,394580.868,39941,China,Iran,Type-86 APC,APC,Armoured vehicles,1996,Yes,10,Yes,2010,Yes,New,0.3,0.3,3,Yes,TII,1.198521352
China,Iran,Export,  All Products,Export (US$ Thousand),1996,394580.868,39941,China,Iran,Type-86 APC,APC,Armoured vehicles,1996,Yes,10,Yes,2006,Yes,New,0.3,0.3,3,Yes,TII,1.198521352
China,Iran,Export,  All Products,Export (US$ Thousand),1996,394580.868,39941,China,Iran,Type-86 APC,APC,Armoured vehicles,1996,Yes,10,Yes,1999,No,New,0.3,0.3,3,Yes,TII,1.198521352
China,Iran,Export,  All Products,Export (US$ Thousand),1996,394580.868,39941,China,Iran,Type-86 APC,APC,Armoured vehicles,1996,Yes,10,Yes,2003,No,New,0.3,0.3,3,Yes,TII,1.198521352
China,Iran,Export,  All Products,Export (US$ Thousand),1996,394580.868,39941,China,Iran,Type-86 APC,APC,Armoured vehicles,1996,Yes,10,Yes,2002,No,New,0.3,0.3,3,Yes,TII,1.198521352
China,Iran,Export,  All Products,Export (US$ Thousand),1996,394580.868,39941,China,Iran,Type-86 APC,APC,Armoured vehicles,1996,Yes,10,Yes,1998,No,New,0.3,0.3,3,Yes,TII,1.198521352
China,Iran,Export,  All Products,Export (US$ Thousand),1996,394580.868,39941,China,Iran,Type-86 APC,APC,Armoured vehicles,1996,Yes,10,Yes,1997,No,New,0.3,0.3,3,Yes,TII,1.198521352
China,Iran,Export,  All Products,Export (US$ Thousand),1996,394580.868,39941,China,Iran,Type-86 APC,APC,Armoured vehicles,1996,Yes,10,Yes,2004,No,New,0.3,0.3,3,Yes,TII,1.198521352
China,Iran,Export,  All Products,Export (US$ Thousand),1996,394580.868,39941,China,Iran,Type-86 APC,APC,Armoured vehicles,1996,Yes,10,Yes,2005,No,New,0.3,0.3,3,Yes,TII,1.198521352
China,Iran,Export,  All Products,Export (US$ Thousand),1996,394580.868,39941,China,Iran,Type-86 APC,APC,Armoured vehicles,1996,Yes,10,Yes,2008,Yes,New,0.3,0.3,3,Yes,TII,1.198521352
China,Iran,Export,  All Products,Export (US$ Thousand),1996,394580.868,39941,China,Iran,Type-86 APC,APC,Armoured vehicles,1996,Yes,10,Yes,2009,Yes,New,0.3,0.3,3,Yes,TII,1.198521352
China,Iran,Export,  All Products,Export (US$ Thousand),1996,394580.868,39941,China,Iran,Type-86 APC,APC,Armoured vehicles,1996,Yes,10,Yes,2011,Yes,New,0.3,0.3,3,Yes,TII,1.198521352
China,Iran,Export,  All Products,Export (US$ Thousand),1996,394580.868,39941,China,Iran,Type-86 APC,APC,Armoured vehicles,1996,Yes,10,Yes,2007,Yes,New,0.3,0.3,3,Yes,TII,1.198521352
China,Iran,Export,  All Products,Export (US$ Thousand),1996,394580.868,39941,China,Iran,Type-86 APC,APC,Armoured vehicles,1996,Yes,10,Yes,2000,No,New,0.3,0.3,3,Yes,TII,1.198521352
China,Myanmar,Export,  All Products,Export (US$ Thousand),1996,521118.239,34159,China,Myanmar,Type-344,fire control radar,Sensors,1996,Yes,2,No,2005,No,New,2.5,2.5,5,No,TII,6.390417541
China,Myanmar,Export,  All Products,Export (US$ Thousand),1996,521118.239,34159,China,Myanmar,Type-344,fire control radar,Sensors,1996,Yes,1,Yes,2004,No,New,2.5,2.5,2.5,No,TII,6.390417541
China,Pakistan,Export,  All Products,Export (US$ Thousand),1996,623011.236,28922,China,Pakistan,Type-347G,fire control radar,Sensors,1996,Yes,1,No,1997,No,New,2.5,2.5,2.5,No,TII,2.369284242
China,Pakistan,Export,  All Products,Export (US$ Thousand),1996,623011.236,28922,China,Pakistan,Type-347G,fire control radar,Sensors,1996,Yes,1,No,1999,No,New,2.5,2.5,2.5,No,TII,2.369284242
China,United States,Export,  All Products,Export (US$ Thousand),1996,26705626.24,,China,United States,0,0,0,1996,0,0,0,0,0,0,0,0,0,0,TII,1.184384771
United States,China,Export,  All Products,Export (US$ Thousand),1996,11977746.41,,United States,China,,,,1996,,,,,,,,,,,TII,0.63436396
